,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AAPL220325C00105000,2022-02-24 15:26:57+00:00,105.0,50.93,58.9,59.3,0.0,0.0,10.0,13,1.0000000000000003e-05,True,REGULAR,USD
1,AAPL220325C00110000,2022-02-24 17:00:29+00:00,110.0,48.62,53.95,54.3,0.0,0.0,82.0,66,1.0000000000000003e-05,True,REGULAR,USD
2,AAPL220325C00130000,2022-02-24 14:46:16+00:00,130.0,26.32,34.2,34.45,0.0,0.0,2.0,3,1.0000000000000003e-05,True,REGULAR,USD
3,AAPL220325C00140000,2022-02-24 20:58:28+00:00,140.0,23.42,24.6,24.95,0.0,0.0,95.0,90,0.3745179736328125,True,REGULAR,USD
4,AAPL220325C00145000,2022-02-25 16:36:42+00:00,145.0,20.15,19.95,20.2,2.6499996,15.142856,7.0,96,0.3454655297851562,True,REGULAR,USD
5,AAPL220325C00150000,2022-02-25 17:50:39+00:00,150.0,15.85,15.4,15.65,1.1500006,7.8231335,144.0,144,0.3210517114257812,True,REGULAR,USD
6,AAPL220325C00155000,2022-02-25 18:13:08+00:00,155.0,11.3,11.25,11.5,0.75,7.1090045,161.0,356,0.3053047985839844,True,REGULAR,USD
7,AAPL220325C00160000,2022-02-25 18:10:44+00:00,160.0,7.43,7.55,7.7,0.13999987,1.9204371,2318.0,2095,0.28137925659179686,True,REGULAR,USD
8,AAPL220325C00165000,2022-02-25 18:13:38+00:00,165.0,4.54,4.45,4.6,0.09000015,2.0224755,2203.0,13289,0.2613599255371094,False,REGULAR,USD
9,AAPL220325C00170000,2022-02-25 18:12:12+00:00,170.0,2.24,2.25,2.29,-0.00999999,-0.44444403,4041.0,24312,0.2399978344726562,False,REGULAR,USD
10,AAPL220325C00175000,2022-02-25 18:13:06+00:00,175.0,1.01,0.99,1.01,-0.09000003,-8.181822,4016.0,17279,0.23072058349609376,False,REGULAR,USD
11,AAPL220325C00180000,2022-02-25 18:12:36+00:00,180.0,0.42,0.4,0.42,-0.08000001,-16.000002,1248.0,2407,0.2299881689453125,False,REGULAR,USD
12,AAPL220325C00185000,2022-02-25 18:09:00+00:00,185.0,0.2,0.18,0.2,-0.049999997,-19.999998,391.0,2203,0.24024197265624997,False,REGULAR,USD
13,AAPL220325C00190000,2022-02-25 18:11:12+00:00,190.0,0.1,0.1,0.11,-0.050000004,-33.333336,1080.0,1766,0.25586681640625003,False,REGULAR,USD
14,AAPL220325C00195000,2022-02-25 17:14:14+00:00,195.0,0.08,0.06,0.08,-0.010000005,-11.111116,223.0,688,0.2802806347656249,False,REGULAR,USD
15,AAPL220325C00200000,2022-02-25 17:59:02+00:00,200.0,0.05,0.04,0.05,-0.02,-28.571426,222.0,950,0.29688203124999996,False,REGULAR,USD
16,AAPL220325C00205000,2022-02-23 19:50:46+00:00,205.0,0.07,0.03,0.05,0.0,0.0,54.0,317,0.32813171874999997,False,REGULAR,USD
17,AAPL220325C00210000,2022-02-25 16:00:02+00:00,210.0,0.06,0.03,0.04,0.009999998,19.999994,1.0,193,0.34961587890624996,False,REGULAR,USD
18,AAPL220325C00215000,2022-02-25 17:58:43+00:00,215.0,0.03,0.02,0.03,-0.01,-25.0,73.0,73,0.367193828125,False,REGULAR,USD
19,AAPL220325C00220000,2022-02-25 17:48:47+00:00,220.0,0.03,0.02,0.03,0.02,200.0,100.0,53,0.39453730468750003,False,REGULAR,USD
20,AAPL220325C00225000,2022-02-23 18:27:45+00:00,225.0,0.02,0.01,0.03,0.0,0.0,1.0,55,0.42188078125,False,REGULAR,USD
21,AAPL220325C00230000,2022-02-17 16:48:08+00:00,230.0,0.04,0.01,0.03,0.0,0.0,2.0,10,0.44727115234375,False,REGULAR,USD
22,AAPL220325C00235000,2022-02-25 15:00:15+00:00,235.0,0.01,0.01,0.02,0.0,0.0,3.0,492,0.45313046875,False,REGULAR,USD
23,AAPL220325C00240000,2022-02-16 15:17:01+00:00,240.0,0.01,0.01,0.03,0.0,0.0,2.0,9,0.49609878906250005,False,REGULAR,USD
24,AAPL220325C00245000,2022-02-25 17:41:44+00:00,245.0,0.02,0.01,0.02,-0.01,-33.333336,77.0,52,0.500005,False,REGULAR,USD
25,AAPL220325C00250000,2022-02-14 05:03:35+00:00,250.0,0.03,0.01,0.02,0.0,0.0,,2,0.507817421875,False,REGULAR,USD
