Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,"Last Trade","Avg IV"
"4,370.00",+1.10%,116.60,117.15,117.70,123.40,-44.85,-26.66%,10,0,0.00,24.41%,Call,02/11/22,22.95%
"4,375.00",+0.99%,113.20,113.80,114.40,170.22,0.00,unch,0,0,0.00,24.27%,Call,02/10/22,22.95%
"4,380.00",+0.87%,109.90,110.45,111.00,121.23,-60.29,-33.21%,2,0,0.00,24.12%,Call,02/11/22,22.95%
"4,385.00",+0.76%,106.60,107.15,107.70,209.58,0.00,unch,0,0,0.00,23.97%,Call,02/09/22,22.95%
"4,390.00",+0.65%,103.30,103.90,104.50,106.99,-98.19,-47.86%,3,0,0.00,23.82%,Call,02/11/22,22.95%
"4,395.00",+0.54%,100.10,100.70,101.30,149.10,0.00,unch,0,0,0.00,23.68%,Call,02/08/22,22.95%
"4,400.00",+0.42%,96.90,97.45,98.00,104.50,-45.07,-30.13%,10,0,0.00,23.51%,Call,02/11/22,22.95%
"4,405.00",+0.31%,93.80,94.35,94.90,94.70,-44.30,-31.87%,12,0,0.00,23.46%,Call,02/11/22,22.95%
"4,410.00",+0.20%,90.70,91.25,91.80,133.30,-54.58,-29.05%,6,0,0.00,23.22%,Call,02/11/22,22.95%
"4,415.00",+0.08%,87.60,88.15,88.70,90.70,-92.93,-50.61%,1,0,0.00,23.05%,Call,02/11/22,22.95%
"4,420.00",-0.03%,84.60,85.15,85.70,93.00,-86.41,-48.16%,14,0,0.00,22.91%,Call,02/11/22,22.95%
"4,425.00",-0.14%,81.60,82.15,82.70,91.16,-41.34,-31.20%,7,0,0.00,22.75%,Call,02/11/22,22.95%
"4,430.00",-0.26%,78.70,79.25,79.80,126.43,1.99,+1.60%,2,0,0.00,22.60%,Call,02/11/22,22.95%
"4,435.00",-0.37%,75.80,76.35,76.90,124.78,0.32,+0.26%,8,0,0.00,22.44%,Call,02/11/22,22.95%
"4,440.00",-0.48%,72.90,73.45,74.00,76.10,-93.71,-55.19%,36,0,0.00,22.27%,Call,02/11/22,22.95%
"4,445.00",-0.60%,70.20,70.70,71.20,84.93,-70.06,-45.20%,10,0,0.00,22.13%,Call,02/11/22,22.95%
"4,450.00",-0.71%,67.40,67.90,68.40,74.07,-76.90,-50.94%,10,0,0.00,21.96%,Call,02/11/22,22.95%
"4,455.00",-0.82%,64.70,65.20,65.70,101.20,0.00,unch,0,0,0.00,21.80%,Call,02/08/22,22.95%
"4,460.00",-0.94%,62.00,62.55,63.10,65.30,-77.52,-54.28%,25,0,0.00,21.64%,Call,02/11/22,22.95%
"4,465.00",-1.05%,59.40,59.95,60.50,107.10,0.00,unch,0,0,0.00,21.48%,Call,02/03/22,22.95%
"4,370.00",-1.10%,70.00,70.60,71.20,72.27,29.62,+69.45%,53,0,0.00,24.27%,Put,02/11/22,22.95%
"4,375.00",-0.99%,71.70,72.25,72.80,87.57,43.54,+98.89%,22,0,0.00,24.13%,Put,02/11/22,22.95%
"4,380.00",-0.87%,73.30,73.90,74.50,80.90,36.48,+82.13%,39,0,0.00,23.98%,Put,02/11/22,22.95%
"4,385.00",-0.76%,75.00,75.60,76.20,85.78,41.59,+94.12%,7,0,0.00,23.83%,Put,02/11/22,22.95%
"4,390.00",-0.65%,76.80,77.40,78.00,79.50,34.21,+75.54%,34,0,0.00,23.69%,Put,02/11/22,22.95%
"4,395.00",-0.54%,78.60,79.15,79.70,76.35,30.55,+66.70%,27,0,0.00,23.54%,Put,02/11/22,22.95%
"4,400.00",-0.42%,80.40,81.00,81.60,83.08,36.19,+77.18%,"1,441",0,0.00,23.40%,Put,02/11/22,22.95%
"4,405.00",-0.31%,82.20,82.80,83.40,79.75,34.22,+75.16%,9,0,0.00,23.23%,Put,02/11/22,22.95%
"4,410.00",-0.20%,84.10,84.70,85.30,86.67,44.07,+103.45%,23,0,0.00,23.08%,Put,02/11/22,22.95%
"4,415.00",-0.08%,86.00,86.60,87.20,88.57,53.97,+155.98%,7,0,0.00,22.92%,Put,02/11/22,22.95%
"4,420.00",+0.03%,88.00,88.60,89.20,89.17,44.09,+97.80%,143,0,0.00,22.92%,Put,02/11/22,22.95%
"4,425.00",+0.14%,90.00,90.60,91.20,90.62,40.35,+80.27%,79,0,0.00,22.61%,Put,02/11/22,22.95%
"4,430.00",+0.26%,92.10,92.70,93.30,103.77,56.87,+121.26%,29,0,0.00,22.46%,Put,02/11/22,22.95%
"4,435.00",+0.37%,94.20,94.80,95.40,73.92,22.72,+44.38%,6,0,0.00,22.30%,Put,02/11/22,22.95%
"4,440.00",+0.48%,96.30,96.95,97.60,105.41,65.81,+166.19%,17,0,0.00,22.15%,Put,02/11/22,22.95%
"4,445.00",+0.60%,98.50,99.15,99.80,90.89,60.69,+200.96%,213,0,0.00,21.99%,Put,02/11/22,22.95%
"4,450.00",+0.71%,100.80,101.40,102.00,109.95,42.45,+62.89%,146,0,0.00,21.83%,Put,02/11/22,22.95%
"4,455.00",+0.82%,103.00,103.65,104.30,115.73,63.33,+120.86%,15,0,0.00,21.66%,Put,02/11/22,22.95%
"4,460.00",+0.94%,105.40,106.00,106.60,108.86,68.56,+170.12%,13,0,0.00,21.50%,Put,02/11/22,22.95%
"4,465.00",+1.05%,107.80,108.40,109.00,108.04,53.04,+96.44%,17,0,0.00,21.25%,Put,02/11/22,22.95%
"Downloaded from Barchart.com as of 02-13-2022 07:52am CST"
